step,l1_errs,rel_l1_errs
0,157.2828088077325,1.000077210611168
25000,131.4647594196326,0.834348246493547
50000,109.59335518020418,0.6955039427434911
75000,81.71992841314483,0.518664395862471
100000,59.47818661976442,0.3776881479068266
125000,34.93134459842397,0.22187404918597084
150000,11.617401579197196,0.07373843303964393
175000,2.4867777050471287,0.015785428076545795
200000,2.384454790688757,0.015139852857702994
225000,2.390483951237133,0.015181111710449155
250000,2.8875375552674556,0.018343358950020844
275000,2.6513712640834695,0.016849230957548145
300000,2.5211233222006935,0.016011424150321734
325000,2.613403935097025,0.016602405452754102
350000,2.5803864323238885,0.016380572769095755
375000,2.5336208594423133,0.016091885618998943
400000,2.533530013967895,0.01608408266806493
425000,2.6323500348607665,0.01671834493804036
450000,2.646242269511374,0.01680872080135771
475000,2.439012425479994,0.015489240442903082
500000,2.7291515607802603,0.017337987256493517
525000,2.379674962052454,0.015102962013443855
