step,l1_errs,rel_l1_errs
0,157.30963268409494,1.0002477692860396
25000,146.1762496516788,0.9277155194616186
50000,142.96612793937652,0.9072950225596105
75000,144.47071415770185,0.9169344263200699
100000,140.6482341407891,0.8931202189904747
125000,178.55282934765967,1.1341172146795722
150000,169.4489529301742,1.075533128824051
175000,150.86435961022133,0.9576483226095819
200000,150.8968036357031,0.9581038871709312
225000,156.4096069998647,0.9933016765176568
250000,154.63164575071937,0.9823123435619476
275000,141.74100397880923,0.9007516014620734
300000,145.56676345922392,0.9244812308113074
325000,150.9172651711239,0.9587456391806425
350000,143.06566404196576,0.9081963427035534
375000,144.95134651163454,0.9206351770006073
400000,149.34759071229183,0.9481312564088167
425000,148.86208765460998,0.9454395109494647
450000,141.87959431273177,0.9012079187492387
475000,142.24994725215683,0.9033753223070701
500000,142.0058585243058,0.9021469532230474
525000,145.99589088991624,0.9265846930319953
