step,l1_errs,l2_errs,li_errs,rel_l1_errs,rel_l2_errs,rel_li_errs
0,157.2991648131448,157.31467500872853,163.4628015667714,1.0001812096965956,1.000375430731827,1.0854639825437402
25000,132.76186741360507,132.78266333991564,139.2601116971839,0.8425804129316208,0.842795704533876,0.9199836928795545
50000,108.14016758017061,108.1894658721911,117.68397982792806,0.6862816892254068,0.686662702009677,0.7817446991360553
75000,83.3457278547089,83.408584934898,94.09899860265708,0.5289831063842088,0.529435347018878,0.6284289380906486
100000,58.55795039624449,58.63008655509372,68.08088458662714,0.3718446221598173,0.3723404444319153,0.4522427696983646
125000,33.8798493637704,34.01072858461933,42.51450371471245,0.215195248009137,0.21604960628872913,0.28351972759625055
150000,10.450331498140677,10.94492682699245,19.51797642266999,0.0663307594357067,0.06947694858432457,0.12938208817508118
175000,2.7742285646572356,3.3782882872040916,10.276228583820853,0.01761009252512408,0.021446566988697718,0.068041459626935
200000,2.4665570130309553,3.085875099410661,11.091648277710476,0.015661152557074627,0.019595361108874054,0.07421020611414564
225000,2.411357046993101,2.9924978807957516,10.46068959048094,0.015313669303337513,0.019006062424362487,0.0694045682109553
250000,2.7823547160950386,3.4726045776380103,11.071004765112377,0.017675174887513214,0.022062309297825367,0.07340508835484875
275000,2.796051279965023,3.4739168180269466,10.919468246140184,0.017768659720902694,0.022078756743658955,0.07286475423490306
300000,2.562465167175456,3.1872633359019575,9.59497819336002,0.016273982435042994,0.02024404698523872,0.06363674847610405
325000,2.538865646893584,3.195699477163957,10.951515264049902,0.01612887938742282,0.02030346133944833,0.07264416259284322
350000,2.567054121172329,3.2034882702570133,9.463443991922873,0.016295937812771916,0.02033815795916403,0.062742760404945
375000,2.441214072983444,3.055886988555944,10.259865989286567,0.015504978768838776,0.019411000908042528,0.06778573026911155
400000,2.718659400121112,3.3507180936128895,9.871942773712533,0.01725937419204929,0.021274166423518814,0.06583490826338756
425000,2.6657514383204823,3.325376824805696,11.420398800631546,0.016930480929477274,0.02112201680174231,0.07608508118284449
450000,2.860562808488508,3.557909729410024,11.444857144517101,0.018170067849271186,0.022601868771620407,0.07601466944649694
475000,2.840431230914588,3.559319754479152,11.007812207518356,0.018038498630653287,0.022606230297474033,0.07350083719824929
500000,2.648839186235732,3.2446608236245043,9.672960930982754,0.016827771940348294,0.0206150439457346,0.06444930073311178
525000,2.302924688535649,2.8860319498945155,9.361037085894225,0.014615854957257505,0.01831839683563263,0.06189105475671473
